Latitude,Longitude,State,Month,Pollutant,Concentration,Concentration_Scaled,Concentration_Standardize
37.16611,-119.44944,California,2024-04,NO,2.1830060182007283,0.0233964434819331,-0.2709147361172001
37.16611,-119.44944,California,2024-05,NO,1.2771399557291665,0.0132553782750654,-0.368767644837359
37.16611,-119.44944,California,2024-06,NO,1.3655963780231335,0.0142456376341608,-0.3592124593910391
37.16611,-119.44944,California,2024-07,NO,1.7478916547198384,0.018525388791502,-0.3179163932676601
37.16611,-119.44944,California,2024-08,NO,1.84706802705462,0.0196356567444525,-0.3072032239468075
37.16611,-119.44944,California,2024-09,NO,2.201366475763962,0.0236019866688239,-0.268931414020892
37.16611,-119.44944,California,2024-10,NO,3.823195662318114,0.0417581757751612,-0.093739175425956
37.16611,-119.44944,California,2024-11,NO,7.136327699228792,0.078848303573528,0.2641499433043666
37.16611,-119.44944,California,2024-12,NO,10.506851796695042,0.1165809288144666,0.6282386320323594
39.0,-105.54517,Colorado,2024-01,NO,9.91919468822171,0.1100021758362972,0.5647590959546971
39.0,-105.54517,Colorado,2024-02,NO,6.107740677339901,0.0673333914998234,0.1530405463047484
39.0,-105.54517,Colorado,2024-03,NO,4.099352692982456,0.0448497216132525,-0.0639083098780193
39.0,-105.54517,Colorado,2024-04,NO,2.781447002145923,0.0300959206917229,-0.2062703108512634
39.0,-105.54517,Colorado,2024-05,NO,2.174242486652977,0.0232983367655542,-0.2718613849520937
39.0,-105.54517,Colorado,2024-06,NO,2.2276157614678898,0.0238958443691897,-0.2660959297651426
39.0,-105.54517,Colorado,2024-07,NO,2.091005025586354,0.0223665030703745,-0.2808528109666937
39.0,-105.54517,Colorado,2024-08,NO,2.551146890063425,0.0275177377234755,-0.2311476484395214
39.0,-105.54517,Colorado,2024-09,NO,3.2419562045454544,0.0352512676501403,-0.1565254679721218
39.0,-105.54517,Colorado,2024-10,NO,5.88848675592417,0.0648788693512931,0.1293564335560119
39.0,-105.54517,Colorado,2024-11,NO,9.588374995495494,0.1062986878543111,0.5290234938207053
39.0,-105.54517,Colorado,2024-12,NO,10.177205907327586,0.1128905814245552,0.5926298257655258
41.66704,-72.66699,Connecticut,2024-01,NO,4.167559804878049,0.0456132922976626,-0.0565404830315481
41.66704,-72.66699,Connecticut,2024-02,NO,2.6505772631578948,0.0286308491853875,-0.2204070416042477
41.66704,-72.66699,Connecticut,2024-03,NO,1.470735,0.0154226522783771,-0.3478552395927882
41.66704,-72.66699,Connecticut,2024-04,NO,1.4603535166666668,0.0153064327799447,-0.3489766618240448
41.66704,-72.66699,Connecticut,2024-05,NO,0.5113120869565217,0.0046820243586262,-0.4514934336078331
