sitename,itemname,itemengname,itemunit,monitormonth,concentration
安南,溫度,AMB_TEMP,℃,2023-01,18.6
安南,細懸浮微粒,PM2.5,μg/m3,2023-01,26
安南,相對濕度,RH,%,2023-01,73
臺南,二氧化硫,SO2,ppb,2023-01,0.9
臺南,一氧化碳,CO,ppm,2023-01,0.5
臺南,臭氧,O3,ppb,2023-01,28.1
臺南,懸浮微粒,PM10,μg/m3,2023-01,51
臺南,氮氧化物,NOx,ppb,2023-01,19.8
臺南,一氧化氮,NO,ppb,2023-01,4.7
臺南,二氧化氮,NO2,ppb,2023-01,15
臺南,風速,WIND_SPEED,m/sec,2023-01,1.1
臺南,溫度,AMB_TEMP,℃,2023-01,18.2
臺南,細懸浮微粒,PM2.5,μg/m3,2023-01,30
臺南,相對濕度,RH,%,2023-01,75
